x,y,z,position
1.15,-8.72,-81.1,4
1.44,-9.39,-80.38,4
1.06,-8.88,-80.95,4
0.63,-8.73,-81.14,4
2.31,-9.07,-80.53,4
1.56,-8.01,-81.76,4
1.48,-7.8,-81.99,4
1.3,-8.19,-81.62,4
1.42,-8.22,-81.58,4
0.92,-9.18,-80.66,4
1.42,-8.77,-81.01,4
2.03,-6.74,-82.92,4
0.73,-11.67,-78.06,4
0.58,-7.94,-81.96,4
0.1,-9.52,-80.34,4
0.73,-8.7,-81.17,4
1.12,-8.05,-81.79,4
0.04,-8.98,-80.9,4
1.59,-6.74,-83.03,4
-0.68,-7.07,-82.85,4
-1.66,-7.36,-82.4,4
-1.23,-7.35,-82.49,4
0.12,-7.09,-82.86,4
-1.45,-7.18,-82.62,4
-0.41,-7.31,-82.62,4
-1.76,-12.58,-76.99,4
1.37,-16.43,-72.8,4
0.0,-16.02,-73.31,4
0.42,-15.81,-73.55,4
0.34,-16.63,-72.61,4
-0.7,-14.42,-75.08,4
1.81,-16.14,-73.09,4
2.43,-15.4,-73.84,4
0.56,-13.51,-76.09,4
1.51,-11.99,-77.65,4
0.37,-13.72,-75.86,4
1.43,-12.28,-77.35,4
0.15,-10.13,-79.7,4
-0.89,-11.74,-77.97,4
1.05,-10.5,-79.27,4
0.36,-11.1,-78.68,4
-0.28,-12.24,-77.47,4
1.74,-9.68,-80.03,4
-0.06,-10.38,-79.44,4
0.21,-10.77,-79.04,4
0.59,-11.14,-78.63,4
-0.3,-10.94,-78.86,4
0.15,-9.73,-80.13,4
-0.14,-11.85,-77.89,4
0.11,-9.67,-80.19,4
0.27,-11.18,-78.59,4
0.01,-11.27,-78.5,4
0.94,-11.64,-78.07,4
-0.17,-10.73,-79.08,4
-0.45,-10.18,-79.65,4
0.83,-12.24,-77.44,4
0.03,-11.83,-77.91,4
0.73,-12.13,-77.57,4
0.75,-12.25,-77.44,4
0.74,-12.8,-76.85,4
1.99,-11.31,-78.3,4
1.15,-11.88,-77.81,4
1.25,-12.35,-77.3,4
0.45,-12.86,-76.8,4
1.12,-12.89,-76.73,4
0.26,-12.44,-77.26,4
0.25,-12.19,-77.52,4
0.8,-12.78,-76.87,4
0.03,-14.47,-75.05,4
0.7,-14.45,-75.05,4
0.18,-13.68,-75.91,4
-0.31,-15.36,-74.06,4
0.9700001,-14.03,-75.5,4
0.08,-14.9,-74.57,4
1.62,-13.38,-76.15,4
-0.35,-14.56,-74.94,4
0.83,-13.08,-76.54,4
0.0,-13.04,-76.61,4
0.85,-13.61,-75.96,4
0.67,-13.83,-75.74,4
0.59,-15.84,-73.51,4
2.04,-14.72,-74.63,4
1.3,-13.95,-75.56,4
1.24,-14.26,-75.23,4
-0.24,-11.14,-78.64,4
1.67,-15.18,-74.17,4
1.06,-14.8,-74.64,4
1.85,-15.28,-74.05,4
1.33,-15.75,-73.57,4
2.05,-12.39,-77.14,4
1.79,-15.96,-73.29,4
1.28,-16.39,-72.85,4
1.72,-17.25,-71.83,4
1.45,-18.13,-70.83,4
1.47,-17.38,-71.7,4
1.23,-15.9,-73.4,4
1.04,-17.26,-71.88,4
1.78,-17.76,-71.23,4
1.01,-16.51,-72.73,4
1.11,-15.81,-73.52,4
0.55,-14.42,-75.09,4
0.43,-15.43,-73.97,4
0.81,-9.09,-80.75,4
-0.54,-6.79,-83.14,4
-1.16,-0.54,-88.72,4
0.74,2.76,-87.14,4
-1.52,2.05,-87.45,4
-2.35,1.05,-87.43,4
-2.03,0.8,-87.82,4
-2.98,2.83,-85.88,4
-3.37,0.62,-86.57,4
-3.71,2.62,-85.45,4
-4.01,-1.24,-85.81,4
-2.53,-1.52,-87.05,4
-2.61,-0.14,-87.39,4
-3.55,-2.1,-85.88,4
-3.07,-1.9,-86.39,4
-2.86,-2.9,-85.93,4
-2.35,-2.62,-86.48,4
-2.68,-2.1,-86.6,4
-2.0,-3.43,-86.03,4
-1.44,-3.75,-85.98,4
