x,y,z,position
-2.27,41.69,27.03,2
-2.61,41.51,27.71,2
-3.86,41.43,28.0,2
-1.79,41.68,27.08,2
-0.48,41.36,28.31,2
-2.49,41.62,27.29,2
-2.55,41.78,26.64,2
2.83,41.4,28.12,2
-0.98,41.45,27.98,2
-1.66,41.73,26.86,2
-1.19,40.95,29.79,2
-1.61,40.49,31.36,2
0.63,40.62,30.94,2
-2.24,41.02,29.53,2
-2.31,40.85,30.14,2
-1.11,41.4,28.16,2
-1.74,41.71,26.95,2
-1.67,41.43,28.03,2
-2.66,41.75,26.79,2
-2.62,41.52,27.69,2
-2.31,41.67,27.12,2
-2.39,41.57,27.48,2
-2.88,41.54,27.61,2
-2.88,41.7,26.95,2
-1.44,41.45,27.95,2
-1.93,41.66,27.13,2
-2.7,41.41,28.09,2
-0.66,41.91,26.15,2
-0.56,42.38,24.15,2
0.81,42.63,22.99,2
0.28,42.46,23.79,2
0.07,42.73,22.53,2
0.5,42.68,22.76,2
-0.61,42.85,21.92,2
0.47,42.91,21.64,2
0.35,42.87,21.85,2
0.76,42.88,21.77,2
0.2,42.79,22.24,2
0.77,42.75,22.42,2
0.48,42.9,21.7,2
-0.28,42.89,21.76,2
0.34,42.84,22.0,2
-0.03,42.95,21.45,2
0.44,42.91,21.64,2
0.0,42.61,23.1,2
0.47,42.83,22.05,2
-1.79,42.64,22.94,2
0.19,42.38,24.16,2
0.28,42.49,23.65,2
0.62,42.33,24.35,2
0.21,42.49,23.64,2
-0.06,42.22,24.83,2
-0.37,41.96,25.94,2
1.46,41.65,27.21,2
3.04,42.28,24.54,2
0.65,42.35,24.3,2
1.49,42.33,24.36,2
1.67,42.08,25.46,2
1.71,41.83,26.45,2
1.82,41.96,25.92,2
0.73,41.89,26.24,2
1.32,42.0,25.79,2
1.4,41.94,26.01,2
0.93,41.75,26.82,2
0.22,41.85,26.42,2
1.24,41.88,26.3,2
0.88,41.8,26.61,2
1.2,41.7,27.0,2
0.56,41.63,27.28,2
1.47,41.77,26.73,2
1.24,42.04,25.62,2
0.52,41.92,26.12,2
1.32,41.49,27.82,2
1.11,41.59,27.42,2
-1.87,41.55,27.58,2
1.28,42.02,25.71,2
0.89,41.88,26.27,2
0.53,42.35,24.27,2
2.41,42.43,23.89,2
-0.85,43.16,20.31,2
0.09,43.67,17.35,2
-0.26,43.04,20.97,2
-5.79,41.86,26.23,2
-4.57,41.32,28.35,2
-5.03,41.2,28.78,2
-4.91,42.34,24.24,2
-4.41,42.61,23.03,2
-2.79,42.51,23.52,2
-3.75,42.56,23.29,2
-2.89,42.61,23.04,2
-3.75,42.5,23.54,2
-3.89,42.49,23.6,2
-3.05,42.58,23.22,2
-2.88,42.56,23.3,2
-2.73,42.34,24.29,2
-2.66,42.41,23.99,2
-1.96,42.6,23.11,2
-2.99,42.66,22.84,2
-2.82,42.44,23.84,2
-2.63,42.66,22.84,2
-3.34,42.54,23.39,2
-2.56,42.66,22.81,2
-2.73,42.61,23.08,2
-2.31,42.71,22.59,2
-1.93,42.63,22.96,2
-3.16,42.66,22.82,2
-2.01,42.71,22.59,2
-0.94,42.71,22.61,2
-2.81,42.78,22.24,2
-2.77,42.78,22.27,2
-2.65,42.82,22.06,2
-2.29,42.58,23.21,2
-3.17,42.66,22.81,2
-3.16,42.62,23.0,2
-2.73,42.87,21.79,2
-2.83,42.76,22.36,2
-2.65,42.64,22.92,2
-2.63,42.59,23.16,2
-2.63,42.75,22.38,2
-2.93,42.62,23.0,2
-2.09,42.68,22.74,2
-2.39,42.7,22.64,2
-2.29,42.69,22.68,2
-2.77,42.72,22.56,2
-2.65,42.64,22.91,2
-2.17,42.78,22.24,2
-2.28,42.64,22.94,2
-2.75,42.6,23.11,2
-2.38,42.67,22.8,2
-2.95,42.62,23.02,2
-2.19,42.51,23.54,2
-2.0,42.62,23.02,2
-2.37,42.54,23.39,2
-2.92,42.65,22.87,2
-2.12,42.65,22.89,2
-2.47,42.58,23.21,2
-1.88,42.7,22.67,2
-3.18,42.7,22.63,2
-2.59,42.74,22.45,2
-2.92,42.62,23.02,2
-2.79,42.73,22.48,2
-2.18,42.63,23.0,2
-2.47,42.72,22.56,2
-2.87,42.59,23.14,2
-2.39,42.55,23.37,2
-2.15,42.92,21.54,2
-1.32,43.59,17.83,2
-1.11,44.01,14.95,2
-1.93,43.9,15.74,2
-3.4,43.1,20.58,2
-4.3,43.23,19.89,2
-3.17,43.19,20.12,2
-3.07,43.27,19.7,2
-2.78,43.17,20.26,2
-3.3,43.07,20.75,2
-2.98,43.21,20.04,2
-2.86,43.18,20.18,2
-2.94,43.19,20.13,2
-2.43,43.27,19.68,2
-2.58,43.24,19.86,2
-3.03,43.12,20.51,2
-2.84,42.97,21.27,2
-2.66,43.01,21.12,2
-2.79,43.41,18.89,2
-2.94,43.6,17.76,2
-2.52,43.58,17.88,2
-1.57,43.92,15.63,2
-1.66,44.47,10.99,2
-0.88,44.16,13.81,2
-1.93,44.12,14.12,2
-1.59,44.03,14.83,2
-1.93,44.06,14.62,2
-1.88,44.21,13.35,2
-0.94,43.61,17.72,2
-3.82,43.03,20.98,2
-3.81,42.98,21.25,2
-2.48,43.05,20.89,2
-3.23,42.75,22.38,2
-3.65,42.67,22.75,2
-2.09,43.05,20.88,2
-1.76,42.72,22.57,2
-3.15,42.73,22.5,2
-2.84,42.6,23.09,2
-2.93,42.75,22.41,2
-2.92,42.86,21.87,2
-2.86,42.66,22.85,2
-2.86,42.79,22.18,2
-2.93,42.63,22.96,2
-3.68,42.57,23.23,2
-2.62,42.67,22.79,2
-3.18,42.69,22.69,2
-2.62,42.59,23.14,2
-2.51,42.65,22.9,2
-2.31,42.59,23.19,2
-2.53,42.71,22.61,2
-2.24,42.86,21.85,2
-2.68,42.7,22.63,2
-2.27,42.79,22.19,2
-1.97,42.77,22.31,2
-2.41,42.8,22.16,2
-2.43,42.71,22.62,2
-2.31,42.64,22.92,2
-2.23,42.73,22.49,2
-2.26,42.84,21.99,2
-1.98,42.77,22.3,2
-2.46,42.79,22.19,2
-2.46,42.75,22.39,2
-2.34,42.57,23.26,2
-2.41,42.76,22.37,2
-2.73,42.75,22.39,2
-2.18,42.9,21.68,2
-2.32,42.6,23.13,2
-2.3,42.82,22.06,2
-0.94,42.84,21.98,2
-2.16,42.78,22.26,2
-2.16,42.72,22.57,2
-1.84,42.93,21.53,2
-2.64,42.88,21.75,2
-2.15,42.8,22.18,2
-2.52,42.84,21.94,2
-2.0,42.9,21.66,2
-2.32,42.83,22.01,2
-2.24,42.84,21.95,2
-2.42,42.81,22.1,2
-2.24,42.74,22.45,2
-2.22,42.73,22.5,2
-2.03,42.88,21.77,2
-2.17,42.85,21.9,2
-2.49,42.82,22.07,2
-2.49,42.81,22.09,2
-1.94,42.8,22.18,2
-2.48,42.88,21.78,2
-0.72,43.3,19.57,2
-2.64,43.86,16.06,2
1.43,44.57,9.92,2
2.2,44.99,1.75,2
6.32,44.85,-5.81,2
8.23,44.49,-10.67,2
8.8,44.79,-6.91,2
8.57,44.87,-5.37,2
8.08,44.82,-6.41,2
8.25,44.76,-7.29,2
8.56,44.8,-6.63,2
8.8,44.79,-6.89,2
8.36,44.78,-7.01,2
8.29,44.79,-6.91,2
7.9,44.81,-6.47,2
8.21,44.79,-6.89,2
8.83,44.81,-6.51,2
8.28,44.83,-6.13,2
8.46,44.79,-6.88,2
8.61,44.79,-6.85,2
8.14,44.76,-7.35,2
8.45,44.77,-7.22,2
8.48,44.81,-6.53,2
8.25,44.7,-8.13,2
7.99,44.72,-7.97,2
8.34,44.77,-7.14,2
8.23,44.75,-7.41,2
8.64,44.77,-7.11,2
8.63,44.74,-7.65,2
8.54,44.76,-7.4,2
8.49,44.77,-7.15,2
8.11,44.78,-7.0,2
8.85,44.71,-8.03,2
8.18,44.76,-7.39,2
8.38,44.68,-8.41,2
8.83,44.73,-7.82,2
8.38,44.73,-7.77,2
8.36,44.72,-7.86,2
8.91,44.72,-7.88,2
7.93,44.74,-7.59,2
9.01,44.6,-9.41,2
9.78,44.54,-10.1,2
9.33,44.63,-9.09,2
9.25,44.59,-9.56,2
