x,y,z,position
-3.75,2.4,85.54,1
-4.8,1.41,85,1
-4.48,1.79,85.17,1
-4.81,1.85,84.85,1
-4.48,2.16,85.02,1
-3.95,1.79,85.67,1
-2.36,2.21,86.77,1
-3.43,2.23,85.9,1
-3.5,2.39,85.76,1
-4.35,1.76,85.31,1
-4.44,1.85,85.19,1
-4.04,1.75,85.6,1
-4.01,1.77,85.61,1
-4.26,2.35,85.13,1
-5.07,2.22,84.47,1
-4.47,2.4,84.93,1
-4.45,2.48,84.91,1
-4.42,2.68,84.83,1
-4.03,2.76,85.11,1
-4.35,2.49,84.99,1
-3.87,2.66,85.3,1
-4.16,2.06,85.36,1
-4.73,2.49,84.65,1
-4.53,2.68,84.74,1
-4.54,2.54,84.79,1
-4.42,2.75,84.79,1
-3.99,2.45,85.32,1
-4.21,2.58,85.06,1
-4.37,2.78,84.82,1
-4.17,2.65,85.06,1
-3.82,3.1,85.08,1
-3.82,2.65,85.35,1
-3.79,2.8,85.29,1
-3.68,2.31,85.66,1
-3.82,2.9,85.2,1
-3.58,3.22,85.18,1
-3.62,2.46,85.62,1
-3.33,3.09,85.45,1
-3.74,2.89,85.27,1
-3.15,3.61,85.2,1
-2.58,2.66,86.29,1
-3.09,2.72,85.88,1
-2.22,2.93,86.32,1
-2.51,2.84,86.2,1
-3.12,3.03,85.65,1
-3.25,3.28,85.38,1
-3.07,3.36,85.44,1
-2.93,3.47,85.46,1
-3.94,3.08,85,1
-3.64,2.8,85.41,1
-3.07,2.64,85.95,1
-3.21,1.77,86.33,1
-3.29,2.98,85.56,1
-3.06,2.83,85.83,1
-2.83,3.17,85.75,1
-2.56,3.02,86.04,1
-2.67,3.01,85.98,1
-2.62,3.38,85.72,1
-3.39,3,85.47,1
-3.4,2.46,85.81,1
-3.22,2.67,85.82,1
-3.18,2.84,85.73,1
-3.03,2.77,85.89,1
-2.84,2.63,86.13,1
-2.62,2.86,86.12,1
-2.9,2.41,86.23,1
-3.16,2.7,85.84,1
-2.7,3.01,85.95,1
-2.51,2.99,86.09,1
-2.91,2.88,85.9,1
-2.62,2.89,86.1,1
-3.14,2.53,85.96,1
-3.72,3.05,85.19,1
-3.75,3.53,84.84,1
-3.18,3.33,85.39,1
-3.32,3.42,85.23,1
-3.53,3.54,85,1
-3.28,3.31,85.34,1
-2.67,3.24,85.8,1
-2.8,2.78,86.05,1
-2.11,2.44,86.77,1
-2.51,2.55,86.42,1
-2.5,2.54,86.43,1
-3.45,2.35,85.83,1
-3.43,2.43,85.8,1
-3.52,2.7,85.56,1
-2.86,2.75,86.03,1
-2.54,2.53,86.41,1
-3.14,2.84,85.77,1
-2.85,2.91,85.92,1
-2.55,3.11,85.97,1
